Income Lower,150000,200000,300000,500000,750000,1000000,1500000
Income Upper,199999,299999,499999,749999,999999,1499999,5000000
Food Lower,67.86,54.36,53.12,51.13,50.28,44.62,40.24
Food Upper,80.49,81.53,88.53,76.69,67.04,64.93,60.96
Household Lower,13.17,18.26,19.66,19.85,21.71,21.69,16.43
Household Upper,33.56,33.39,32.76,29.77,28.95,32.53,31.73
Education Lower,5.97,7.91,8.09,8.15,8.46,8.4,7.97
Education Upper,7.96,10.86,11.49,11.23,11.28,11.6,15.96
Health Lower,1.1,1.18,1.15,1.26,1.38,1.49,4.35
Health Upper,0.14,1.76,1.92,1.89,1.84,2.23,5.41
Transportation Lower,9.48,7.11,7.18,7.57,8.49,8.65,7.96
Transportation Upper,12.64,10.67,11.97,11.36,11.31,12.98,10.83
Apparel Lower,2.59,1.82,1.73,1.77,2.03,2.01,2.26
Apparel Upper,3.45,2.73,2.89,2.65,2.7,3.01,5.06
Social Life Lower,0.04,0.06,0.17,0.23,0.29,0.39,0.82
Social Life Upper,0.05,1.09,1.29,2.34,2.39,2.59,3.27
Entertainment Lower,1.04,2.03,2.09,3.11,3.15,4.2,5.41
Entertainment Upper,1.05,3.05,3.14,4.17,4.2,4.29,5.63
Other Lower,0.05,0.47,0.52,0.69,1.06,1.42,2.61
Other Upper,0.07,0.71,0.86,1.04,1.41,2.13,4.45
